Commental title,Review main body
Ten dead squid game,"After Netflix reads the carfish game that recently global fire, it is expected that the value is expected, the plot is compact, and the rules are simple but intriguing. If one day, the stranger gives you a card and says to participate in a blind game, success can win the grand prize, you'd better throw the card away, even if you have not lost, you are still alive. Think carefully, six crosses including the last squid game"
After the examination party finished reading,The first clearance of the wood man on behalf of you insisted that the second level of the person was defeated. It is very important that the fifth-off bombball represents the sequence of the sixth-level glass bridge representative examination review in the later stage of the postgraduate research.
"Violent blood version of ""gambling hypothesis"" + ""secret room escape""",/
"Violence is only empty, bloody calories","OriginalAuthor: MikeHaleFrom ""NewYorkTimes"" ""Haven'twatch'squidGame '? Here'swhatyou'renotmissing."" This article has spoiler. If you think that you should see the Korean suspense episode ""SquidGame"", but if you are lucky enough or have enough caution, you are some of you."
"""Squid Game"", complex humanity","I often saw that there was a ""squid game"" in the near future. I finally finished reading yesterday. I feel that human nature is really complicated. Some people are simple, some people are thorough, some people are good at hypocity, some people are cold, but most of the good and evil Also, only see if it affects your own interests. First, you will die, will you save your strange people? The first game ""123 wood people"", everyone thought the so-called Amoy"
"""Squid Game"" Koreans have more sad reminders? Young people don't have a day in South Korea",/
"In addition to being shot, BOSS, I can't think of other possibilities of the end.","At the beginning, it is a bit persuvered, and some pictures behind are not suitable. However, the plot inside is quite quite good. Before looking at it, it was a Korean drama to innovate, and the game was taken. After reading, it turns out that it is an unexpected plot. For example, the first vote I thought it would continue the game, and the result will be more developed after the game is suspended. There are also new organs."
"Squid game: ""Korean"" transcultural communication representative",/
"Panic, the game of the road - ""squid game"" in the ""squid game""","It's a limited grade film, a variety of head / bleeding / excavation shots! ! All spoilers! Feared that the dramatic can be cautious! ! 1. When the game participant wants to stop the game by voting, the game designer let everyone see hundreds of millions of cash to fall into the pig piggy bank, and finally take the key vote of the old man 001, 101: 100 votes, Not long, most game participants are self-contained, voluntarily re-"
No matter how it is still very good,"Samsung and a half, there are a lot of doubtable places, the free killing party at night is very strong, after all, not a big escape, killing others must play group games, no gameover, people still have a sea tactics, and there are so much money There is no difference in several people. The small policeman left the evidence that facilitated the discontinuation of the fault (definitely not the criminal police), the specialty is the Copy other deaf line, and finally"
Lost interest,"Recently, ""Squid Games"" global fire, I also hold curiosity, because strict control yourself not more than two episodes one day, I used it for a week, I wrote a few words. 1. After reading the beginning, the brain immediately bled ""as a god"" and ""big escape"", but did not hinder me to continue to look down, the storytel is good. 2, see the end, a man said a bothering all"
"Reposting ¡¤ Why is the US elite for the ""squid game""",/
I have a sound in people with people.,"This week is really hard, overtime every day. When I got off work, I ran back to the rental house, some take the takeaway, watch a ""squid game"", and then go back to overtime. After adding a class back to rent, you will look at the two episodes in the middle of the night. So I have a resonance with people in people in the film. I like the story of the game theme. Because the rules of the game __ must have abstract places, with abstract rules __"
The man is not a stupid and sweetness.,/
Hyundai's dilemma,"Good-looking drama, two types of people in modern society, one type is a fish-waking in the social system representative of the No. 1, in which there is a financial reputation social status in this system, but everything has the kind of innocent interest. Bored is also desperate, and the loss of self-dissolution in the system means self-individual loss. Another type of No. 456 represented by the system of the system, they tried to fight the revision and upgrade"
